Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,ANI Check status,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Contig N50,Assembly Stats Scaffold N50,Assembly Stats Number of Scaffolds,Annotation BUSCO Complete ,Annotation BUSCO Single Copy ,Annotation BUSCO Duplicated ,Annotation BUSCO Fragmented ,Annotation BUSCO Missing ,Annotation BUSCO Lineage ,Assembly Sequencing Tech,Assembly Submitter,Assembly BioProject Accession,Assembly BioSample Accession,Annotation Count Gene Total,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Type Material Display Text,CheckM marker set,CheckM completeness,CheckM contamination
GCF_019175345.1,ASM1917534v1,Saccharolobus shibatae B12,523848,Inconclusive,,B12,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2916875,2,Complete Genome,7/8/2021,,2879035,2879035,2,,,,,,,Oxford Nanopore GridION; Illumina MiSeq,Skolkovo Institute of Science and Technology,PRJNA716250,SAMN18432893,3159,2968,140,assembly from type material,Sulfolobaceae,98.97,0.67
GCF_000148385.1,ASM14838v1,Vulcanisaeta distributa DSM 14429,572478,OK,,DSM 14429,,,,,GCF_000148385.1-RS_2024_05_01,2374137,1,Complete Genome,9/22/2010,,2374137,2374137,1,,,,,,,454/Illumina,US DOE Joint Genome Institute (JGI-PGF),PRJNA32589,SAMN00017002,2567,2499,18,assembly from type material,Vulcanisaeta,96.63,0.58
GCF_000016385.1,ASM1638v1,Pyrobaculum arsenaticum DSM 13514,340102,OK,,DSM 13514,,,,,GCF_000016385.1-RS_2024_04_02,2121076,1,Complete Genome,4/16/2007,,2121076,2121076,1,,,,,,,,DOE Joint Genome Institute,PRJNA15582,SAMN02598330,2524,2449,26,assembly from type material,Pyrobaculum,99.04,
GCF_000022365.1,ASM2236v1,Thermococcus gammatolerans EJ3,593117,OK,,EJ3; DSM 15229,,,,,GCF_000022365.1-RS_2024_10_21,2045438,1,Complete Genome,6/12/2009,,2045438,2045438,1,,,,,,,,"IGM/ Universit Paris-Sud, France",PRJNA33671,SAMN02603333,2230,2167,11,assembly from type material,Thermococcus,98.99,0.35
GCF_000253055.1,ASM25305v1,Thermoproteus tenax Kra 1,768679,OK,,Kra 1,,,,,GCF_000253055.1-RS_2024_03_28,1841542,1,Complete Genome,10/6/2011,,1841542,1841542,1,,,,,,,,"University of Duisburg-Essen, Faculty of Chemistry, Molecular Enzyme Technology and Biochemistry",PRJEA49419,SAMEA2272453,2125,2054,22,assembly from type material,Thermoproteus,98.56,
GCF_000012545.1,ASM1254v1,Methanosphaera stadtmanae DSM 3091,339860,OK,,DSM 3091,,,,,GCF_000012545.1-RS_2024_10_21,1767403,1,Complete Genome,1/5/2006,,1767403,1767403,1,,,,,,,,University of Goettingen,PRJNA15579,SAMN02604180,1614,1553,6,assembly from type material,Methanobacteriaceae,99.38,
GCF_000145295.1,ASM14529v1,Methanothermobacter marburgensis str. Marburg,79929,OK,,Marburg,,,,,GCF_000145295.1-RS_2024_10_21,1639135,2,Complete Genome,8/11/2010,,1634695,1634695,2,,,,,,,,Georg-August-University Goettingen,PRJNA40103,SAMN02603260,1787,1722,16,assembly from type material,Methanothermobacter,97.15,0.63
GCF_000231015.2,ASM23101v3,Desulfurococcus amylolyticus DSM 16532,768672,OK,,DSM 16532,,,,,GCF_000231015.2-RS_2024_03_28,1384116,1,Complete Genome,6/7/2012,,1384116,1384116,1,,,,,,,454/Illumina,DOE Joint Genome Institute,PRJNA49401,SAMN02232017,1543,1486,6,assembly from synonym type material,Desulfurococcus,98.66,0.02
GCF_000258425.1,ASM25842v1,Fervidicoccus fontis Kam940,1163730,OK,,Kam940,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),1319206,1,Complete Genome,4/10/2012,,1319206,1319206,1,,,,,,,,Centre Bioengineering RAS,PRJNA91117,SAMN02603095,1409,1356,4,assembly from type material,Thermoprotei,98.81,
GCF_000092185.1,ASM9218v1,Thermosphaera aggregans DSM 11486,633148,OK,,DSM 11486,,,,,GCF_000092185.1-RS_2024_05_01,1316595,1,Complete Genome,5/17/2010,,1316595,1316595,1,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA36571,SAMN02598509,1458,1400,8,assembly from type material,Desulfurococcaceae,100,
GCF_000186365.1,ASM18636v1,Desulfurococcus mucosus DSM 2162,765177,OK,,DSM 2162,,,,,GCF_000186365.1-RS_2024_05_01,1314639,1,Complete Genome,1/20/2011,,1314639,1314639,1,,,,,,,454/Illumina,US DOE Joint Genome Institute (JGI-PGF),PRJNA48641,SAMN00103627,1418,1364,3,assembly from type material,Desulfurococcus,99.28,0.23
GCF_013402815.2,ASM1340281v2,Natrinema halophilum,1699371,OK,,YPL8,,,,,GCF_013402815.2-RS_2024_05_06,4842193,3,Complete Genome,10/19/2021,,4359796,4359796,3,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA643691,SAMN15423737,4702,4492,153,assembly from type material,Natrinema,94.43,9.31
GCF_003430825.1,ASM343082v1,Natrarchaeobaculum sulfurireducens,2044521,OK,,AArc1,,,,,GCF_003430825.1-RS_2024_10_23,3789323,3,Complete Genome,8/28/2018,,3521804,3521804,3,,,,,,,Illumina MiSeq,C.N.R. - Institute for Coastal Marine Environment (IAMC),PRJNA413731,SAMN07764453,3736,3623,51,assembly from type material,Halobacteriales,98.27,
GCF_003201835.2,ASM320183v2,Acidianus brierleyi,41673,OK,,DSM 1651,,,,,GCF_003201835.2-RS_2024_06_10,2947244,1,Complete Genome,3/10/2020,,2947244,2947244,1,,,,,,,Illumina NextSeq,North Carolina State University,PRJNA463410,SAMN09071529,3211,3033,127,assembly from type material,Sulfolobaceae,98.9,3.83
GCF_036323395.1,ASM3632339v1,Pyrodictium abyssi,54256,OK,,AV2,,,,,GCF_036323395.1-RS_2024_04_02,2224219,1,Complete Genome,9/14/2023,,2224219,2224219,1,,,,,,,Illumina SBS technology,Kyoto University,PRJDB16515,SAMD00639620,2441,2384,6,assembly from type material,Pyrodictiaceae,93.9,9.71
GCF_001011115.1,ASM101111v1,Halanaeroarchaeum sulfurireducens,1604004,OK,,HSR2,,,,,GCF_001011115.1-RS_2024_10_21,2209738,2,Complete Genome,5/21/2015,,2085482,2085482,2,,,,,,,Illumina HiSeq 2000; 454 GS FLX Titanium,C.N.R. - Institute for Coastal Marine Environment (IAMC),PRJNA253523,SAMN02899090,2291,2206,33,assembly from type material,Halobacteriaceae,97.06,1.43
GCF_000585495.1,ASM58549v1,Thermococcus nautili,195522,OK,,30-1,,,,,GCF_000585495.1-RS_2024_10_21,1976356,1,Complete Genome,3/5/2014,,1976356,1976356,1,,,,,,,Illumina,Institute de Genetique et Microbiologie,PRJNA237737,SAMN03081537,2234,2171,11,assembly from type material,Thermococcus,99.34,0.7
GCF_000970085.1,ASM97008v1,Methanosarcina siciliae T4/M,1434120,OK,,T4/M,,,,,GCF_000970085.1-RS_2024_10_21,5017558,1,Complete Genome,4/7/2015,,5017558,5017558,1,,,,,,,ABI 3730; 454 GS-FLX Titanium; Illumina GAIIx; Illumina MiSeq,University of Illinois at Urbana-Champaign,PRJNA230953,SAMN03074589,4317,4110,140,assembly from type material,Methanosarcina,96.12,4.53
GCF_000328685.1,ASM32868v1,Natronococcus occultus SP4,694430,OK,,SP4,,,,,GCF_000328685.1-RS_2024_10_21,4314118,3,Complete Genome,12/28/2012,,4013216,4013216,3,,,,,,,,JGI,PRJNA46985,SAMN02261263,4372,4218,85,assembly from type material,Halobacteriales,99.72,0.62
GCF_000217715.1,ASM21771v1,Halopiger xanaduensis SH-6,797210,OK,,SH-6,,,,,GCF_000217715.1-RS_2024_10_21,4355268,4,Complete Genome,6/9/2011,,3668009,3668009,4,,,,,,,454/Illumina,US DOE Joint Genome Institute,PRJNA56049,SAMN02232028,4333,4222,49,assembly from type material,Halobacteriales,99.52,0.41
GCF_000328525.1,ASM32852v1,Halovivax ruber XH-70,797302,OK,,XH-70,,,,,GCF_000328525.1-RS_2024_10_21,3223876,1,Complete Genome,12/27/2012,,3223876,3223876,1,,,,,,,454/Illumina,DOE Joint Genome Institute,PRJNA59897,SAMN02232030,3166,3078,34,assembly from type material,Halobacteriales,98.27,
GCF_000063445.1,ASM6344v1,Methanocella arvoryzae MRE50,351160,OK,,MRE50,,,,,GCF_000063445.1-RS_2024_10_21,3179916,1,Complete Genome,10/12/2006,,3179916,3179916,1,,,,,,,,Max Planck Institute,PRJNA19641,SAMEA3138262,3198,3125,11,assembly from type material,Methanocella,99.42,2.11
GCF_000011085.1,ASM1108v1,Haloarcula marismortui ATCC 43049,272569,OK,,ATCC 43049,,,,,GCF_000011085.1-RS_2024_10_21,4274642,9,Complete Genome,11/2/2004,,3131724,3131724,9,,,,,,,,Institute for Systems Biology,PRJNA105,SAMN02603385,4409,4248,99,assembly from type material,Haloarcula,99.26,
GCF_000023945.1,ASM2394v1,Halorhabdus utahensis DSM 12940,519442,OK,,DSM 12940,,,,,GCF_000023945.1-RS_2024_10_21,3116795,1,Complete Genome,8/27/2009,,3116795,3116795,1,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA29305,SAMN00002611,3060,2978,31,assembly from type material,Halobacteriales,99.52,0.97
GCF_000204415.1,ASM20441v1,Methanothrix soehngenii GP6,990316,OK,,GP6,,,,,GCF_000204415.1-RS_2024_10_21,3026645,2,Complete Genome,4/15/2011,,3008626,3008626,2,,,,,,,,University of Wisconsin-Parkside,PRJNA63185,SAMN02604263,3076,2949,70,assembly from synonym type material,Methanosaeta,99.86,2.3
GCF_000011005.1,ASM1100v1,Methanocella paludicola SANAE,304371,OK,,SANAE,,,,,GCF_000011005.1-RS_2024_10_21,2957635,1,Complete Genome,12/25/2009,,2957635,2957635,1,,,,,,,,NITE,PRJDA20361,SAMD00060931,3107,3037,11,assembly from type material,Methanocella,98.93,0.96
GCF_000021965.1,ASM2196v1,Methanosphaerula palustris E1-9c,521011,OK,,E1-9c,,,,,GCF_000021965.1-RS_2024_10_21,2922917,1,Complete Genome,1/5/2009,,2922917,2922917,1,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA29381,SAMN00001866,2910,2784,56,assembly from type material,Methanoregulaceae,99.19,1.06
GCF_000591055.1,ASM59105v1,Natronomonas moolapensis 8.8.11,268739,OK,,8.8.11,,,,,GCF_000591055.1-RS_2024_10_21,2912573,1,Complete Genome,2/21/2013,,2912573,2912573,1,,,,,,,,Max-Planck-Institute of Biochemistry,PRJEA50649,SAMEA3138954,2948,2808,90,assembly from type material,Halobacteriales,99.15,2.7
GCF_000147875.1,ASM14787v1,Methanolacinia petrolearia DSM 11571,679926,OK,,DSM 11571,,,,,GCF_000147875.1-RS_2024_10_21,2843290,1,Complete Genome,9/17/2010,,2843290,2843290,1,,,,,,,454/Illumnina,US DOE Joint Genome Institute (JGI-PGF),PRJNA40773,SAMN00017400,2865,2797,11,assembly from type material,Methanomicrobiaceae,99.71,0.05
GCF_000327485.1,ASM32748v1,Methanoregula formicica SMSP,593750,OK,,SMSP,,,,,GCF_000327485.1-RS_2024_10_21,2820858,1,Complete Genome,12/21/2012,,2820858,2820858,1,,,,,,,454/Illumina,DOE Joint Genome Institute,PRJNA63567,SAMN02232038,2916,2853,10,assembly from type material,Methanoregulaceae,99.8,0.03
GCF_000517625.1,ASM51762v1,Halostagnicola larsenii XH-48,797299,OK,,XH-48,,,,,GCF_000517625.1-RS_2024_10_21,4131176,5,Complete Genome,1/13/2014,,2789326,2789326,5,,,,,,,454-GS-FLX-Titanium; Illumina HiSeq 2000,JGI,PRJNA71415,SAMN00117518,4099,3964,80,assembly from type material,Halobacteriales,100,
GCF_000011205.1,ASM1120v1,Sulfurisphaera tokodaii str. 7,273063,OK,,7,,,,,GCF_000011205.1-RS_2024_03_28,2694756,1,Complete Genome,5/11/2004,,2694756,2694756,1,,,,,,,Sanger ABI3730,NITE,PRJNA246,SAMD00061096,3015,2857,107,assembly from type material,Sulfolobaceae,99.31,0.67
GCF_000026045.1,ASM2604v1,Natronomonas pharaonis DSM 2160,348780,OK,,Gabara,,,,,GCF_000026045.1-RS_2024_10_21,2749696,3,Complete Genome,9/28/2005,,2595221,2595221,3,,,,,,,,Max Planck Institute,PRJNA15742,SAMEA3138222,2889,2804,34,assembly from type material,Halobacteriales,99.91,1.24
GCF_000017625.1,ASM1762v1,Methanoregula boonei 6A8,456442,OK,,6A8,,,,,GCF_000017625.1-RS_2024_10_21,2542943,1,Complete Genome,7/26/2007,,2542943,2542943,1,,,,,,,,US DOE Joint Genome Institute,PRJNA18505,SAMN02598409,2555,2493,8,assembly from type material,Methanoregulaceae,99.75,0.03
GCF_000015825.1,ASM1582v1,Methanoculleus marisnigri JR1,368407,Inconclusive,,JR1,,,,,GCF_000015825.1-RS_2024_10_21,2478101,1,Complete Genome,2/16/2007,,2478101,2478101,1,,,,,,,,DOE Joint Genome Institute,PRJNA16330,SAMN02598365,2519,2458,7,assembly from type material,Methanomicrobiaceae,99.78,0.87
GCF_000328665.1,ASM32866v1,Methanomethylovorans hollandica DSM 15978,867904,OK,,DSM 15978,,,,,GCF_000328665.1-RS_2024_05_02,2714013,2,Complete Genome,12/28/2012,,2428904,2428904,2,,,,,,,454/Illumina,JGI,PRJNA50749,SAMN02261367,2701,2605,36,assembly from type material,Methanosarcinaceae,99.61,
GCF_000251105.1,ASM25110v1,Methanocella conradii HZ254,1041930,OK,,HZ254,,,,,GCF_000251105.1-RS_2024_10_21,2378438,1,Complete Genome,3/7/2012,,2378438,2378438,1,,,,,,,,China Agricultural University,PRJNA73221,SAMN02603117,2575,2496,21,assembly from type material,Methanocella,99.8,1.48
GCF_000190315.1,ASM19031v1,Vulcanisaeta moutnovskia 768-28,985053,OK,,768-28,,,,,GCF_000190315.1-RS_2024_09_05,2298983,1,Complete Genome,2/22/2011,,2298983,2298983,1,,,,,,,,Centre Bioengineering RAS,PRJNA63027,SAMN02603092,2532,2469,14,assembly from type material,Vulcanisaeta,97.88,0.67
GCF_000196655.1,ASM19665v1,Methanohalobium evestigatum Z-7303,644295,OK,,Z-7303,,,,,GCF_000196655.1-RS_2024_10_21,2406232,2,Complete Genome,6/15/2010,,2242317,2242317,2,,,,,,,,US DOE Joint Genome Institute,PRJNA37945,SAMN00015125,2466,2357,51,assembly from type material,Methanosarcinaceae,100,0.13
GCF_000246985.2,ASM24698v3,Thermococcus litoralis DSM 5473,523849,OK,,DSM 5473,,,,,GCF_000246985.2-RS_2024_10_21,2215172,1,Complete Genome,8/13/2013,,2215172,2215172,1,,,,,,,Illumina GA IIx; Pacific Biosciences RS,"New England Biolabs, Inc.",PRJNA81925,SAMN02603679,2515,2401,62,assembly from type material,Thermococcus,98.82,2.27
GCF_000217995.1,ASM21799v1,Methanosalsum zhilinae DSM 4017,679901,OK,,DSM 4017,,,,,GCF_000217995.1-RS_2024_10_21,2138444,1,Complete Genome,6/13/2011,,2138444,2138444,1,,,,,,,454/Illumina,US DOE Joint Genome Institute (JGI-PGF),PRJNA40771,SAMN02232039,2080,1994,25,assembly from type material,Methanosarcinaceae,98.67,
GCF_000018305.1,ASM1830v1,Caldivirga maquilingensis IC-167,397948,OK,,IC-167,,,,,GCF_000018305.1-RS_2024_03_28,2077567,1,Complete Genome,10/5/2007,,2077567,2077567,1,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA17421,SAMN00623034,2088,2038,5,assembly from type material,Thermoproteaceae,99.7,
GCF_000385565.1,ASM38556v1,Archaeoglobus sulfaticallidus PM70-1,387631,OK,,PM70-1,,,,,GCF_000385565.1-RS_2024_10_21,2076931,1,Complete Genome,4/30/2013,,2076931,2076931,1,,,,,,,454; ABI3730,"University of Bergen, Centre for Geobiology, Department of Biology",PRJNA196460,SAMN02028569,2333,2248,29,assembly from type material,Archaeoglobus,94.94,3.27
GCF_000025865.1,ASM2586v1,Methanohalophilus mahii DSM 5219,547558,OK,,DSM 5219,,,,,GCF_000025865.1-RS_2024_10_21,2012424,1,Complete Genome,3/31/2010,,2012424,2012424,1,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA30711,SAMN02598474,2087,2001,22,assembly from type material,Methanosarcinaceae,99.41,
GCF_000015805.1,ASM1580v1,Pyrobaculum calidifontis JCM 11548,410359,OK,,JCM 11548,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2009313,1,Complete Genome,2/27/2007,,2009313,2009313,1,,,,,,,,DOE Joint Genome Institute,PRJNA18111,SAMN00623060,2323,2261,13,assembly from type material,Pyrobaculum,99.02,
GCF_000152265.2,ASM15226v2,Ferroplasma acidarmanus Fer1,333146,OK,,Fer1,,,,,GCF_000152265.2-RS_2024_10_21,1935211,1,Complete Genome,6/26/2013,,1935211,1935211,1,,,,,,,,DOE Joint Genome Institute,PRJNA239,SAMN02604346,1971,1902,19,assembly from type material,Thermoplasmatales,99.65,0.65
GCF_000194625.1,ASM19462v1,Archaeoglobus veneficus SNP6,693661,OK,,SNP6,,,,,GCF_000194625.1-RS_2024_10_21,1901943,1,Complete Genome,3/31/2011,,1901943,1901943,1,,,,,,,454/Illumina,US DOE Joint Genome Institute (JGI-PGF),PRJNA51621,SAMN00713598,2194,2131,12,assembly from type material,Archaeoglobus,99.6,0.84
GCF_000014945.1,ASM1494v1,Methanothrix thermoacetophila PT,349307,OK,,PT,,,,,GCF_000014945.1-RS_2024_10_21,1879471,1,Complete Genome,10/25/2006,,1879471,1879471,1,,,,,,,,US DOE Joint Genome Institute,PRJNA15765,SAMN02598350,1828,1761,11,assembly from synonym type material,Methanosaeta,99.58,0.56
GCF_000725425.1,ASM72542v1,Palaeococcus pacificus DY20341,1343739,OK,,DY20341,,,,,GCF_000725425.1-RS_2024_10_21,1859370,1,Complete Genome,7/14/2014,,1859370,1859370,1,,,,,,,454,"The third institute of oceanography of SOA,PRChina",PRJNA207495,SAMN03081469,2032,1971,6,assembly from type material,Thermococcaceae,99.68,0.63
GCF_000214415.1,ASM21441v1,Methanotorris igneus Kol 5,880724,OK,,Kol 5,,,,,GCF_000214415.1-RS_2024_10_21,1854197,1,Complete Genome,5/23/2011,,1854197,1854197,1,,,,,,,454/Illumina,US DOE Joint Genome Institute,PRJNA51821,SAMN00713627,1859,1805,11,assembly from type material,Methanotorris,98.96,1.91
GCF_000022545.1,ASM2254v1,Thermococcus sibiricus MM 739,604354,OK,,MM 739,,,,,GCF_000022545.1-RS_2024_10_21,1845800,1,Complete Genome,6/29/2009,,1845800,1845800,1,,,,,,,,Centre,PRJNA34531,SAMN02603090,2052,1968,32,assembly from type material,Thermococcus,98.99,0.35
GCF_000204925.1,ASM20492v1,Metallosphaera cuprina Ar-4,1006006,OK,,Ar-4,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),1840348,1,Complete Genome,4/19/2011,,1840348,1840348,1,,,,,,,,Environmental Microbiology Research Center (EMRC),PRJNA65497,SAMN02603221,1978,1911,16,assembly from type material,Metallosphaera,97.86,0.14
GCF_000015205.1,ASM1520v1,Pyrobaculum islandicum DSM 4184,384616,OK,,DSM 4184,,,,,GCF_000015205.1-RS_2024_04_28,1826402,1,Complete Genome,12/20/2006,,1826402,1826402,1,,,,,,,,DOE Joint Genome Institute,PRJNA16743,SAMN02598374,2194,2080,65,assembly from type material,Pyrobaculum,98.09,
GCF_000015765.1,ASM1576v1,Methanocorpusculum labreanum Z,410358,OK,,Z,,,,,GCF_000015765.1-RS_2024_10_21,1804962,1,Complete Genome,2/1/2007,,1804962,1804962,1,,,,,,,,DOE Joint Genome Institute,PRJNA18109,SAMN00623052,1870,1804,2,assembly from type material,Methanocorpusculum,99.31,0.37
GCF_000015225.1,ASM1522v1,Thermofilum pendens Hrk 5,368408,OK,,Hrk 5,,,,,GCF_000015225.1-RS_2024_05_01,1813393,2,Complete Genome,12/18/2006,,1781889,1781889,2,,,,,,,,DOE Joint Genome Institute,PRJNA16331,SAMN02598366,1973,1917,8,assembly from type material,Thermoprotei,97.62,1.79
GCF_000019805.1,ASM1980v1,Pyrobaculum neutrophilum V24Sta,444157,OK,,V24Sta,,,,,GCF_000019805.1-RS_2024_05_01,1769823,1,Complete Genome,3/27/2008,,1769823,1769823,1,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA15645,SAMN02598332,2070,2011,10,assembly from type material,Pyrobaculum,95.22,0.49
GCF_000446015.1,ASM44601v1,Thermofilum adornatum,1365176,OK,,1910b,,,,,GCF_000446015.1-RS_2024_03_28,1750259,1,Complete Genome,8/13/2013,,1750259,1750259,1,,,,,,,Illumina; IonTorrent,Baltic Federal University,PRJNA212068,SAMN02602995,1916,1862,6,assembly from type material,Thermoprotei,97.62,1.79
GCF_000024625.1,ASM2462v1,Methanocaldococcus vulcanius M7,579137,OK,,M7,,,,,GCF_000024625.1-RS_2024_10_21,1761737,3,Complete Genome,10/15/2009,,1746329,1746329,3,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA33047,SAMN02598493,1785,1725,15,assembly from type material,Methanocaldococcus,98.32,0.19
GCF_000017165.1,ASM1716v1,Methanococcus vannielii SB,406327,OK,,SB,,,,,GCF_000017165.1-RS_2024_10_21,1720048,1,Complete Genome,6/29/2007,,1720048,1720048,1,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA17889,SAMN02598403,1778,1710,15,assembly from type material,Methanococcus,99.47,
GCF_000215995.1,ASM21599v1,Pyrococcus yayanosii CH1,529709,OK,,CH1,,,,,GCF_000215995.1-RS_2024_09_05,1716818,1,Complete Genome,6/7/2011,,1716818,1716818,1,,,,,,,,Shanghai JiaoTong University,PRJNA66055,SAMN02603867,1946,1852,33,assembly from type material,Pyrococcus,99.01,0.06
GCF_000015145.1,ASM1514v1,Hyperthermus butylicus DSM 5456,415426,OK,,DSM 5456,,,,,GCF_000015145.1-RS_2024_03_28,1667163,1,Complete Genome,1/22/2007,,1667163,1667163,1,,,,,,,,Univ. Copenhagen,PRJNA208,SAMN02604082,1826,1752,23,assembly from type material,Pyrodictiaceae,97.9,0.58
GCF_000179575.2,ASM17957v2,Methanothermococcus okinawensis IH1,647113,OK,,IH1,,,,,GCF_000179575.2-RS_2024_10_21,1677455,2,Complete Genome,6/6/2011,,1662525,1662525,2,,,,,,,454/Illumina,US DOE Joint Genome Institute (JGI-PGF),PRJNA43653,SAMN00100784,1700,1627,26,assembly from type material,Methanothermococcus,97.84,0.46
GCF_000011185.1,ASM1118v1,Thermoplasma volcanium GSS1,273116,OK,,GSS1,,,,,GCF_000011185.1-RS_2024_10_21,1584804,1,Complete Genome,5/11/2004,,1584804,1584804,1,,,,,,,,"National Institute of Advanced Industrial Science and Technology, Japan",PRJNA206,SAMD00061089,1664,1586,27,assembly from type material,Thermoplasma,98.56,1.22
GCF_000092465.1,ASM9246v1,Staphylothermus hellenicus DSM 12710,591019,OK,,DSM 12710,,,,,GCF_000092465.1-RS_2024_05_01,1580347,1,Complete Genome,6/1/2010,,1580347,1580347,1,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA33683,SAMN00002730,1691,1633,8,assembly from type material,Staphylothermus,96.39,0.05
GCF_000015945.1,ASM1594v1,Staphylothermus marinus F1,399550,OK,,F1,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),1570485,1,Complete Genome,2/21/2007,,1570485,1570485,1,,,,,,,,US DOE Joint Genome Institute,PRJNA17449,SAMN02598390,1690,1637,3,assembly from type material,Staphylothermus,97.97,0.29
GCF_000017185.1,ASM1718v1,Methanococcus aeolicus Nankai-3,419665,OK,,Nankai-3,,,,,GCF_000017185.1-RS_2024_10_21,1569500,1,Complete Genome,6/29/2007,,1569500,1569500,1,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA18641,SAMN00623051,1573,1511,13,assembly from type material,Methanococcus,99.36,
GCF_000025285.1,ASM2528v1,Archaeoglobus profundus DSM 5631,572546,OK,,DSM 5631,,,,,GCF_000025285.1-RS_2024_10_21,1563423,2,Complete Genome,1/19/2010,,1560622,1560622,2,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA32583,SAMN00017459,1898,1827,19,assembly from type material,Archaeoglobus,98.87,0.12
GCF_000317795.1,ASM31779v1,Caldisphaera lagunensis DSM 15908,1056495,OK,,DSM 15908,,,,,GCF_000317795.1-RS_2024_05_02,1546846,1,Complete Genome,12/10/2012,,1546846,1546846,1,,,,,,,454/Illumina,JGI,PRJNA70815,SAMN02261426,1570,1515,4,assembly from type material,Acidilobales,97.72,0.92
GCF_000144915.1,ASM14491v1,Acidilobus saccharovorans 345-15,666510,OK,,345-15,,,,,GCF_000144915.1-RS_2024_03_28,1496453,1,Complete Genome,8/6/2010,,1496453,1496453,1,,,,,,,,Centre Bioengineering RAS,PRJNA39927,SAMN02603091,1548,1495,2,assembly from type material,Acidilobus,99.36,0.43
GCF_000023985.1,ASM2398v1,Methanocaldococcus fervens AG86,573064,OK,,AG86,,,,,GCF_000023985.1-RS_2024_10_21,1507251,2,Complete Genome,8/28/2009,,1485061,1485061,2,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA32615,SAMN02598490,1662,1592,25,assembly from type material,Methanocaldococcus,98.65,0.19
GCF_001481685.1,ASM148168v1,Ignicoccus islandicus DSM 13165,940295,OK,,DSM 13165,,,,,GCF_001481685.1-RS_2024_03_28,1394664,1,Complete Genome,12/23/2015,,1394664,1394664,1,,,,,,,Sanger dideoxy sequencing; 454; Illumina,Oak Ridge National Laboratory,PRJNA61347,SAMN04316368,1548,1494,3,assembly from type material,Desulfurococcaceae,98.88,2.02
GCF_000092305.1,ASM9230v1,Methanocaldococcus infernus ME,573063,OK,,ME,,,,,GCF_000092305.1-RS_2024_10_21,1328194,1,Complete Genome,4/30/2010,,1328194,1328194,1,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA32611,SAMN00017484,1506,1446,14,assembly from type material,Methanocaldococcus,98.41,
GCF_013415905.1,ASM1341590v1,Halosimplex pelagicum,869886,OK,,R2,,,,,GCF_013415905.1-RS_2024_05_05,5199031,1,Complete Genome,7/15/2020,,5199031,5199031,1,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA644747,SAMN15472364,5235,5093,70,assembly from type material,Halobacteriales,99.72,4.29
GCF_022869805.1,ASM2286980v1,Halosolutus halophilus,1552990,OK,,LT55,,,,,GCF_022869805.1-RS_2024_05_12,5058678,1,Complete Genome,4/11/2022,,5058678,5058678,1,,,,,,,Illumina,Jiangsu University,PRJNA822522,SAMN27190933,5046,4852,136,assembly from type material,Halobacteriales,98.96,1.45
GCF_028747785.1,ASM2874778v1,Halosimplex aquaticum,3026162,OK,,XZYJT29,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5163082,3,Complete Genome,2/21/2023,,4824346,4824346,3,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA932174,SAMN33179401,5091,4911,101,assembly from type material,Halobacteriales,98.36,3.73
GCF_029338515.1,ASM2933851v1,Haloglomus litoreum,3034026,OK,,DT116,,,,,GCF_029338515.1-RS_2024_03_17,4695480,1,Complete Genome,3/22/2023,,4695480,4695480,1,,,,,,,PacBio Sequel,Jiangsu University,PRJNA943353,SAMN33717057,4673,4596,27,assembly from type material,Halobacteriales,98.27,1.7
